Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784595749,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595750,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595751,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595752,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595753,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595754,60,,Aggregated,0.000000,0.000000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,1,0,4518.878135015257,4518.878135015257,4518.878135015257,4518.878135015257,0.0
1784595755,60,,Aggregated,0.000000,0.000000,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,2,0,4518.878135015257,4855.229446548037,4518.878135015257,5191.580758080818,0.0
1784595756,60,,Aggregated,0.200000,0.000000,5700,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,5,0,5700,5723.915786645375,4518.878135015257,6622.007525060326,0.0
1784595757,60,,Aggregated,0.200000,0.000000,6600,6600,6600,6600,7100,7100,7100,7100,7100,7100,7100,6,0,5700,5960.003817201748,4518.878135015257,7140.4439699836075,0.0
1784595758,60,,Aggregated,0.285714,0.000000,6600,6600,6800,7100,8100,8100,8100,8100,8100,8100,8100,9,0,6600,6319.778805805578,4518.878135015257,8083.521944005042,0.0
1784595759,60,,Aggregated,0.750000,0.000000,6600,6800,7100,8100,8800,8800,8800,8800,8800,8800,8800,10,0,6600,6565.821190131828,4518.878135015257,8780.202649068087,0.0
1784595760,60,,Aggregated,0.888889,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,27,0,10817.12844397407,9086.39860609805,4518.878135015257,10817.12844397407,0.0
1784595761,60,,Aggregated,0.888889,0.000000,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,29,0,9900,9114.061091781658,4518.878135015257,10817.12844397407,0.0
1784595762,60,,Aggregated,0.888889,0.000000,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,29,0,9900,9114.061091781658,4518.878135015257,10817.12844397407,0.0
1784595763,60,,Aggregated,0.888889,0.000000,9900,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,29,0,9900,9114.061091781658,4518.878135015257,10817.12844397407,0.0
1784595764,60,,Aggregated,2.900000,0.000000,11000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,45,0,11000,10741.369605762884,4518.878135015257,13723.088770057075,0.0
1784595765,60,,Aggregated,2.900000,0.000000,11000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,45,0,11000,10741.369605762884,4518.878135015257,13723.088770057075,0.0
1784595766,60,,Aggregated,2.800000,0.000000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,60,0,14000,11733.25414635668,4518.878135015257,14720.716879004613,0.0
1784595767,60,,Aggregated,2.800000,0.000000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,60,0,14000,11733.25414635668,4518.878135015257,14720.716879004613,0.0
1784595768,60,,Aggregated,4.300000,0.000000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,61,0,14000,11682.511433596403,4518.878135015257,14720.716879004613,0.0
1784595769,60,,Aggregated,4.300000,0.000000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,61,0,14000,11682.511433596403,4518.878135015257,14720.716879004613,0.0
1784595770,60,,Aggregated,4.300000,0.000000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,61,0,14000,11682.511433596403,4518.878135015257,14720.716879004613,0.0
1784595771,60,,Aggregated,5.300000,0.000000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,64,0,12000,11700.930836770567,4518.878135015257,14720.716879004613,0.0
1784595772,60,,Aggregated,5.200000,0.000000,12000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,65,0,12000,11681.716299852213,4518.878135015257,14720.716879004613,0.0
1784595773,60,,Aggregated,5.100000,0.000000,12000,14000,14000,15000,15000,15000,15000,17000,17000,17000,17000,67,0,12000,11732.777440439173,4518.878135015257,17288.900315994397,0.0
1784595774,60,,Aggregated,3.500000,0.000000,12000,14000,14000,15000,15000,15000,15000,17000,17000,17000,17000,68,0,12000,11737.591275358092,4518.878135015257,17288.900315994397,0.0
1784595775,60,,Aggregated,3.800000,0.000000,12000,14000,14000,15000,15000,15000,17000,18000,18000,18000,18000,69,0,12000,11826.875480150034,4518.878135015257,17898.201406002045,0.0
1784595776,60,,Aggregated,3.900000,0.000000,12000,14000,14000,15000,15000,15000,17000,18000,18000,18000,18000,71,0,12000,11772.240933158737,4518.878135015257,17898.201406002045,0.0
1784595777,60,,Aggregated,3.900000,0.000000,12000,14000,14000,15000,15000,15000,17000,18000,18000,18000,18000,72,0,12000,11768.159844184993,4518.878135015257,17898.201406002045,0.0
1784595778,60,,Aggregated,2.500000,0.000000,12000,14000,14000,15000,15000,15000,17000,18000,18000,18000,18000,74,0,12000,11814.034146571381,4518.878135015257,17898.201406002045,0.0
1784595779,60,,Aggregated,1.200000,0.000000,13000,14000,15000,15000,15000,18000,18000,18000,18000,18000,18000,79,0,13000,12132.482198688873,4518.878135015257,18164.570704102516,0.0
1784595780,60,,Aggregated,1.200000,0.000000,13000,14000,15000,15000,17000,18000,18000,18000,18000,18000,18000,83,0,13000,12336.953924981462,4518.878135015257,18176.386201987043,0.0
1784595781,60,,Aggregated,1.500000,0.000000,14000,14000,15000,15000,18000,18000,18000,18000,18000,18000,18000,89,0,14000,12657.735481631964,4518.878135015257,18300.732543924823,0.0
1784595782,60,,Aggregated,2.000000,0.000000,14000,15000,15000,17000,18000,18000,18000,18000,18000,18000,18000,94,0,14000,12954.679751289425,4518.878135015257,18300.732543924823,0.0
