Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784595985,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595986,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784595987,8,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1500.4151400644332,1598.795339523349,1500.4151400644332,1697.1755389822647,0.0
1784595988,12,,Aggregated,0.000000,0.000000,1700,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,5,0,1700,2117.8902964340523,1500.4151400644332,2853.6718640243635,0.0
1784595989,16,,Aggregated,0.000000,0.000000,2100,2100,2900,2900,2900,2900,2900,2900,2900,2900,2900,6,0,1700,2116.093101697819,1500.4151400644332,2853.6718640243635,0.0
1784595990,20,,Aggregated,1.000000,0.000000,2200,2900,2900,3900,3900,3900,3900,3900,3900,3900,3900,9,0,2200,2520.760157132625,1500.4151400644332,3888.235446996987,0.0
1784595991,20,,Aggregated,1.000000,0.000000,2200,2900,2900,3900,3900,3900,3900,3900,3900,3900,3900,9,0,2200,2520.760157132625,1500.4151400644332,3888.235446996987,0.0
1784595992,20,,Aggregated,1.500000,0.000000,2900,3900,3900,4600,4600,4600,4600,4600,4600,4600,4600,13,0,2900,3049.3818916237124,1500.4151400644332,4594.590124906972,0.0
1784595993,20,,Aggregated,1.500000,0.000000,2900,3900,3900,4600,4600,4600,4600,4600,4600,4600,4600,13,0,2900,3049.3818916237124,1500.4151400644332,4594.590124906972,0.0
1784595994,20,,Aggregated,1.857143,0.000000,3700,4600,4600,4600,5900,5900,5900,5900,5900,5900,5900,17,0,3700,3599.6956786017536,1500.4151400644332,5943.696334026754,0.0
1784595995,20,,Aggregated,1.857143,0.000000,3700,3900,4600,4600,5900,5900,5900,5900,5900,5900,5900,18,0,3200,3545.588939625304,1500.4151400644332,5943.696334026754,0.0
1784595996,20,,Aggregated,1.625000,0.000000,3900,4600,5900,5900,6100,6100,6100,6100,6100,6100,6100,22,0,3900,4000.1887138350867,1500.4151400644332,6058.084659045562,0.0
1784595997,20,,Aggregated,1.800000,0.000000,3900,4600,5900,5900,6100,6100,6100,6100,6100,6100,6100,23,0,3900,3911.0877152289386,1500.4151400644332,6058.084659045562,0.0
1784595998,20,,Aggregated,1.800000,0.000000,3900,4600,5900,5900,6100,6100,6100,6100,6100,6100,6100,23,0,3900,3911.0877152289386,1500.4151400644332,6058.084659045562,0.0
1784595999,20,,Aggregated,2.000000,0.000000,3900,5900,5900,6100,6100,7700,8100,8100,8100,8100,8100,25,0,3900,4229.249163167551,1500.4151400644332,8071.676122024655,0.0
1784596000,20,,Aggregated,2.000000,0.000000,4600,5900,6000,6100,7700,8100,8200,8200,8200,8200,8200,26,0,3900,4383.861718506803,1500.4151400644332,8249.1756019881,0.0
1784596001,20,,Aggregated,1.800000,0.000000,4600,5900,6100,6100,8100,8200,8300,8300,8300,8300,8300,27,0,4600,4529.022279191176,1500.4151400644332,8303.196856984869,0.0
1784596002,20,,Aggregated,1.800000,0.000000,4600,5900,6100,6100,8200,8300,8500,8500,8500,8500,8500,28,0,4600,4671.441399076554,1500.4151400644332,8516.757635981776,0.0
1784596003,20,,Aggregated,1.800000,0.000000,4600,5900,6100,7700,8300,8500,8800,8800,8800,8800,8800,30,0,4600,4835.137470070428,1500.4151400644332,8797.267374000512,0.0
1784596004,20,,Aggregated,1.800000,0.000000,5000,6000,6100,7700,8300,8800,8900,8900,8900,8900,8900,32,0,4600,4969.721961220785,1500.4151400644332,8946.945882984437,0.0
1784596005,20,,Aggregated,1.600000,0.000000,5500,6100,8100,8300,8900,9000,9000,9000,9000,9000,9000,35,0,5500,5313.607313713458,1500.4151400644332,9006.865488016047,0.0
1784596006,20,,Aggregated,1.800000,0.000000,5900,6100,8200,8500,9000,9100,9200,9200,9200,9200,9200,38,0,5500,5487.988794761661,1500.4151400644332,9166.974332998507,0.0
1784596007,20,,Aggregated,1.800000,0.000000,5900,7700,8500,8800,9000,9100,9200,9200,9200,9200,9200,40,0,5900,5654.636068150285,1500.4151400644332,9166.974332998507,0.0
1784596008,20,,Aggregated,1.400000,0.000000,5900,8100,8500,8600,9000,9000,9200,9200,9200,9200,9200,42,0,5900,5786.034055284246,1500.4151400644332,9166.974332998507,0.0
